_id,periodo,ID_SR,denominazione,tipologia,categoria,totale_unita,totale_bagni,totale_letti,indirizzo,frazione,cap,codice_istat_comune,comune,provincia,latitudine,longitudine,telefono,fax,sitoweb,email,periodi,servizi_generali,servizi_camera,prezzo_alta_stagione_o_unica,prezzo_bassa_stagione,foto1,foto2,foto3,foto4,foto5
1,2015,15422,"""77""",Bed & breakfast,,1,1,2,VIA ALDO MORO  453,,70037,72038,RUVO DI PUGLIA,Bari,,,,,,,01/03/2015-25/11/2015,Ascensore-Bagno privato-Sala Tv-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento indipendente-Tv-Angolo cottura,camera-doppia-bagno (65-70),camera-doppia-bagno (50-65),,,,,
2,2015,13946,"""A E R""",Bed & breakfast,,5,5,10,VIA PRINCIPE DI PIEMONTE  113,,71010,71027,LESINA,Foggia,41.86648,15.351040000000012,0882-991090,,www.aerlesina.com,info@aerlesina.com,01/01/2015-15/01/2015#07/03/2015-08/11/2015#24/12/2015-31/12/2015,Bagno privato-Camere / struttura per ospiti Disabili,Aria condizionata indipendente-Tv,camera-doppia-bagno (60-80),camera-doppia-bagno (50-60),http://www.agenziapugliapromozione.it/portal/documents/ddl/376892/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/376892/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/376892/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/376892/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/376892/fileFoto5
3,2015,12947,"""B&B AL CASTELLO""",Bed & breakfast,,2,2,6,,,,72039,SAMMICHELE DI BARI,Bari,,,,,,,,,,,,,,,,
4,2015,13463,"""B&B LE FATE DEL SALENTO",Bed & breakfast,,4,4,10,VIA GARIBALDI  35,,73040,75050,MORCIANO DI LEUCA,Lecce,39.8445891,18.309096899999986,0833/743677,,,info@beblefatedelsalento.it,07/04/2015-31/12/2015,Reception 24h-Deposito bagagli-Cassaforte / cassette di sicurezza-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino-Somministrazione bevande-Somministrazione alimenti,Tv satellitare-Frigobar-Aria condizionata indipendente-Riscaldamento indipendente-Cassaforte / cassetta di sicurezza,camera-doppia-bagno (60-90)#camera-quadrupla-bagno (150-180)#camera-tripla-bagno (105-135)#doppia-uso-singola (30-70),camera-doppia-bagno (60-75)#camera-quadrupla-bagno (120-180)#camera-tripla-bagno (75-90),http://www.agenziapugliapromozione.it/portal/documents/ddl/977105/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/977105/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/977105/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/977105/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/977105/fileFoto5
5,2015,15616,"""BORGHETTO DEL SOLE""",Bed & breakfast,,2,2,4,CONTRADA ORSANESE  SNC,,74011,73003,CASTELLANETA,Taranto,,,3911106223,,,borghettodelsole@libero.it,21/08/2015-31/12/2015,Reception 24h-Camere fumatori-Deposito bagagli-Bagno privato-Sala Tv-Sala lettura-Parco / Giardino-Somministrazione alimenti-Accesso animali piccola taglia,Aria condizionata indipendente-Riscaldamento indipendente-Frigobar-Riscaldamento-Angolo cottura,camera-doppia-bagno-persona (30-45),camera-doppia-bagno-persona (30-45),,,,,
6,2015,14101,"""DIMORA IL SOLE AL SUD""DI CECCHINI NICOLA GIUSEPPE",Case e appartamenti vacanza,,6,3,9,,,,72036,PUTIGNANO,Bari,,,,,www.ilsoleasud.it,info@ilsoleasud.it,,,,,,,,,,
7,2015,2115,"""S.MARIA DEGLI ANGELI""",Bed & breakfast,,6,6,10,,,,75031,GALLIPOLI,Lecce,,,0833 266823,,,istitutosantamaria@live.it,,,,,,,,,,
8,2015,15052,19 CONDOHOTEL,Residenze tur. alberghiere,4 stelle,74,74,312,VIA BORSELLINO  s.n.,,73020,75072,SANTA CESAREA TERME,Lecce,,,0836949764,08361950375,www.19condohotel.it,info@19condohotel.it,01/01/2015-31/12/2015,Ristorante-Bar-Reception 24h-Camere fumatori-Ascensore-Deposito bagagli-Facchinaggio-Cassaforte / cassette di sicurezza-Parcheggio Coperto / Scoperto-Baby sitting-Accesso animali piccola taglia-Camere / struttura per ospiti disabili,Aria condizionata indipendente-Riscaldamento indipendente-Cassafforte / cassetta di sicurezza-Tv satellitare-Frigobar-Telefono-Angolo cottura,ua-bilocale (240-330)#ua-monolocale (180-240)#ua-plurilocale (330-480)#ua-bilocale (240-330)#ua-monolocale (180-240)#ua-plurilocale (330-480),ua-bilocale (210-240)#ua-monolocale (150-150)#ua-plurilocale (300-390)#ua-bilocale (210-240)#ua-monolocale (150-150)#ua-plurilocale (300-390),,,,,
20,2015,15468,7 CONTRADE,Bed & breakfast,,2,2,5,Via Lama  130,Taranto,74122,73027,TARANTO,Taranto,40.404997816496646,17.253212067216054,3279818898,0,bnb7contrade.it,7contrade@email.it,13/07/2015-31/12/2015,Reception 24h-Cassaforte / cassette di sicurezza-Bagno privato-Parco / Giardino,Aria condizionata indipendente-Riscaldamento centralizzato-Cassaforte / cassetta di sicurezza-Tv-Insonorizzazione-Frigobar-Riscaldamento,camera-doppia-bagno (60-80)#camera-singola-bagno (35-45)#camera-tripla-bagno (80-100),camera-doppia-bagno (60-80)#camera-singola-bagno (35-45)#camera-tripla-bagno (80-100),http://www.agenziapugliapromozione.it/portal/documents/ddl/1411251/fileFoto1,http://www.agenziapugliapromozione.it/portal/documents/ddl/1411251/fileFoto2,http://www.agenziapugliapromozione.it/portal/documents/ddl/1411251/fileFoto3,http://www.agenziapugliapromozione.it/portal/documents/ddl/1411251/fileFoto4,http://www.agenziapugliapromozione.it/portal/documents/ddl/1411251/fileFoto5
9,2015,13395,19VENTI,Bed & breakfast,,3,3,6,VIA IMPERATORE ADRIANO  20,,73100,75035,LECCE,Lecce,,,0832-242096,,,info@capocciabb.it,08/01/2015-30/03/2015,Cassaforte / cassette di sicurezza-Bagno privato-Sala Tv-Parco / Giardino-Somministrazione bevande,Aria condizionata centralizzata-Aria condizionata indipendente-Riscaldamento indipendente-Cassaforte / cassetta di sicurezza-Tv-Insonorizzazione-Frigobar-Riscaldamento-Telefono,camera-doppia-bagno (70-90),camera-doppia-bagno (70-70),,,,,
